별점,리뷰 내용,날짜
별표 4개,"The pies in this place are great!
The most delicious is the earl gray pie.
신촌에, 줄서서 먹는다는 파이 맛집~
대학가답게 학생들로 붐볐고, 레트로스런 분위기로 독특함을 느낄수 있었습니다.
유럽에 있을때 ,파이를 엄청 많이 먹어서인지 물렸으나.
얼그레이파이를 주문.
파이지가 엄청 바삭해서 놀랬고,홍차크림의 고급스런 맛에 놀래고~
파이를 먹고싶은 날에는 이곳에 와야겠어요^^",5년 전
별표 4개,바질치즈케이크가 산뜻하고 진해서 제일 맛있었다. 개인적으로 얼그레이 가나슈는 크림 부분이 투머치인 느낌..? 먹을 친구가 워낙 많아서 다음에 가면 산뜻한 친구를 한개 먹어볼 예정!,5년 전
별표 4개,"가격이 절대 싸지 않지만 분명히 맛있다. 아주 진득하게 단 파이도 있고 담백하면서 적절하게 단 파이도 있다. 과일 파이에는 과일이 정말 많이 올라가서 즐겁다. 카톡 문의를 하면 문구를 추가한 홀파이를 주문할 수 있다. 인테리어가 아기자기하고 이쁘며, 2층에는 생각보다 넓은 공간이 있다.",1년 전
별표 4개,"초코아몬드호두파이와 말차스콘을 아메리카노와 함께 먹었습니다.
1인 1주문 필수이고요, 사람이 굉장히 많았습니다. 금요일 저녁 8시 반이었는데 이미 테이블이 다 차있더라고요.
외국인 분들도 많이 오시고, 가게 가득 빵 냄새가 가득합니다.
초코아몬드호두파이는 정말 꾸덕하고 고소합니다. 단단한 타입이니 주의하세요. 말차파이보다는 스콘을 추천합니다. 크림이 정말 맛있거든요. 사진찍기에도 예쁜 장소이지만, 서빙 속도와 테이블을 치워주시는 속도가 늦으니 시간이 넉넉할 때 방문하세요.
11시가 마감시간입니다.",5년 전
별표 5개,"스콘도 파이도 다 너무 맛있었어요🩷
사과 들어간 디저트들이 정말 맛있네요❤️",7달 전
별표 5개,"대학교 생활 때 거의 신촌에서 살았다.. 할 정도로
자주 갔었는데, 그 때는 파이홀이 연대 앞 터널 옆에
작게 있었는데 이번에 가보니까 큰 곳으로 이사
가셨더라구요!! 그래서 찾아서 갔었는데
여전히 .. 맛있어서 그런지 포장하는 손님과
실내에서 먹는 손님이 엄청 많았어요.
신촌가서 케이크가 파이가 생각나면 파이홀!
밖에 생각이 안나네요 ㅎㅎ 그 만큼 맛있고
이번에도 정말 맛있게 먹고 갔습니다. ^^",3년 전
별표 5개,"신촌 터주대감♡
맛있는 파이와 케이크
내사랑 레몬에이드",5달 전
별표 5개,"입구에 들어가자마자 베이커리 좋은 향이 납니다.
한조각에 6천원대인데 가격대가 좋은 편입니다. 호두파이는 밑에 초콜릿이 있는데 에너지바와 같은 느낌으로 건강한 맛입니다. 얼그레이는 크림 맛보다 밑에있는 초콜릿 맛이 진하네요. 아이스 아메리카노도 맛이 좋은편으로 만족했습니다. 다른 맛도 먹어보고싶네요.ㅎㅎ",2년 전
별표 5개,"►결론 : 신촌에서 찾은 디저트 원티어
►5가지 포인트 :
1.신촌에서 케이크 파는 가게들은 좀 있을지 몰라도, 홍대나 연남 이 지역까지 가지 않으면 제대로 된 디저트 종류들을 맛보기 힘든데, 이 곳만은 일부러 찾아올 법한 꽤 괜찮은 디저트 맛집
2.다양한 종류의 케이크들이 있고, 뻔한 00바게트 같은 가게의 케이크가 아니라 트렌디 하면서도 다양한 재료들로 개성있게 맛을 낸 독특한 케이크들이 있다.
3.사람들이 많아 주말에는 줄을 서서 구매를 할 수도 있으며, 원하는 케이크 종류가 없을 수도 있다.
4.가격은 저렴하다고는 할 수 없으나 요즘 물가 상승을 생각하면 꽤 괜찮은 편.
5.실내에서 먹고 가기에 테이블 자체가 여유롭고 넉넉하지 않으니, 테이크아웃으로 가져가는 것을 추천

👍추천 : 신촌에서 약속을 잡고, 저녁에 먹을 케이크 생각에 이미 들떠있는 사람",1년 전
별표 5개,동유럽 분위기 넘 좋아요,3달 전
별표 5개,"파이가 다 맛있다. 부담스럽지 않은 파이를 찾기 어려운데 계속해서 먹을 수 있는 맛
메뉴를 굳이 뽑자면 블루베리파이와 오레오말차 가나슈를 추천한다. 사람이 많아서 자리를 잡기 어려울 수 있다. 만약 블루베리파이를 먹고 간다면 아이스크림을 같이 주문하는 걸 추천
파이와 같이 아이스크림과 정말 잘 어울린다.",3년 전
별표 3개,"얼그레이 가나슈, 블루베리파이(포장)

분위기가 아늑하고 좋다. 좋은 사람 데려와서 편하게 대화하다 가고 싶은 공간이다.

그와 별개로 얼그레이 가나슈는 무난했고 블루베리 파이는 조금 맛있었다.",4년 전
별표 5개,"여기에서 추천메뉴는 단연코!!!!! 라임타르트입니당
인생에서 먹은 타르트 중 최고를 꼽아요!!!
근데 개인적인 취향으론 그 외에는 맛있긴 하지만 미친듯이 맛있진 않은것 같아요
라임타르트는 때에따라 있을수도 없을수도 있으니 있다면 꼭 드셔보세용",6년 전
별표 4개,라임크림치즈파이인가 이거 진짜 다니까 상큼한 듯 끈질기게 단 맛 좋아하신다면 추천드립니다. 얼그레이 가나슈는 그보다는 덜 달고 부드럽지만 결국 둘 다 다니까 단 거 별로 즐기지 않는 분께는 추천드리기 어렵네요. 그치만 만들 때 재료 아낌없이 쓰신 건지 맛과 향이 강하고 가격에 비해 크기도 커요. 당 떨어질 때 와서 드세요.,6년 전
별표 5개,늦은 시간에 가서 남아있는 파이가 얼그레이 한개뿐이라 아쉬웠어요ㅠ 초코 크림이 엄청 꾸덕하고 진한데 얼그레이 크림 단맛이 은은하고 향이 좋아 잘어울렸습니다. 쿠키는 생각보다 엄청 달아요. 아메리카노나 라떼같이 달지 않은 커피류와 같이 드시는걸 추천합니다. :),3년 전
별표 5개,"늘 사람이 많아서 앉아서 먹기 어려울 때가 많아요. 얼그레이, 녹차, 레몬 위주로 먹어봤는데 어느 하나 맛없는게 없었어요. 최근에 레몬 먹었는데 아 진짜 가볍고 상큼한 디저트 하나 먹고 싶다~ 하면 레몬 드세요 너무 맛있어요!!
평소에 타르트나 파이 이름 붙은거 별로 안좋아하는데 여기꺼는 타르트라기 보단 그냥 케이크로 생각하시면 될거같아요ㅎㅎ",4년 전
별표 5개,저는 감동받은 맛집만 리뷰합니다. 브라우니에 아이스크림을 꼭 올려서 드셔보세요. 차가운 아이스크림과 살짝 따뜻하고 꾸덕한 브라우니의 식감이 조화롭습니다.,5년 전
별표 5개,직접 제작하시는 타르트케이크와 쿠키로 풍성하게 채워진 디저트 맛집이에요! 만족합니다.,2년 전
별표 5개,파이가 정말 재료아낌없이쓴느낌이 팍팍나는 진한맛이었습니다ㅎㅎ 먹은 파이 전부 맛있었어요 인기가많아서 자리가 별로 없더라구요 분위기도 아기자기하고 바쁜데도 일하는분들이 친절해서 좋았어요~,6년 전
별표 4개,"신촌에 유명한 타르트집입니다
제 입맛엔 조금 많이 달았어요  둘이 하나 먹고 입가심하기 적당한 정도? 그치만 단거 좋아하시는 분들이라면 아주아주 좋아하실 거 같아요",4년 전
별표 5개,"어때요~ 너무 예쁘죠~ 매일 나오는 파이는 진짜 감동 그 자체입니다 ㅠㅠ
가끔은 스스로한테 이런 선물도 좋잖아요❤️
기분이 꿀꿀할땐 파이앞으로❤️",5년 전
별표 3개,"일단 맛은 있다.
얼그레이 가나슈가 짝퉁이다 뭐다 말이 많은데 나는 개인적으로 맛있으면 그만이라고 생각한다.

근데 가게는 분위기가 엉망이다.
너무 좁고, 인테리어도 나름 소박 앤티크하게 하려고 한건진 모르겠는데 내 입장에서는 낡고 부산스러워보였다.
테이블은 파이를 먹기에 너무 작고 덜컹거렸다

또 사람이 미친듯이 많은데 테이블 간격은 콩나물시루여서
목소리가 크지 않은 사람은 가서 대화를 나누기조차 힘들다.
거짓말 안 하고 토요일 술집보다 시끄러워서 친구랑 카톡으로 얘기하고 10분만에 먹고 나왔다.

포장이면 모를까 홀은 다시 가고싶진 않다.",4년 전
별표 4개,파이 맛있어요~~~!~!~! 사람이 많아요 엄청 줄 서는 정도는 아니지만 그래도 줄 있습니다 케이크 크기도 큰데 그 사진은 안찍었네엽,6년 전
별표 5개,"사람이 너무 많아서 앉을 곳이 없는게 흠이에요ㅠㅠ 근데 진짜 너무 모든 케이크 다 맛있고, 스콘도 진짜 맛있어요ㅠㅠ",1달 전
별표 4개,"타르트지가 바삭하고 맛있습니다. 오레오녹차타르트? 였는데 굉장히 진하고 씁쓸한 맛. 커피도 씁쓸한 편입니다.
호주식 아이스커피의 아이스크림에서 약맛이 느껴져서 별 하나를 뺐습니다. 아쉽네요..
(다만 완전히 섞어서 먹으면 커피의 씁쓸함과 융합돼서 느껴지지 않습니다.)",4년 전
별표 2개,"사람 많아요. 책상은 편하지는 않습니다. 파이홀 파이를 5동류 먹었는데 유명한만큼 맛있지는 않았습니다. 딸기도 맛이 밍밍했어요 ㅜㅜ  제 입이
엥간한건 다 맛있는데 동네카페보다 조금 별로였습니다. 그냥 신촌역에서 가깝다는게 메리트인거같아요",5년 전
별표 4개,"오후 11시까지 영업하며 파이들은 파이지 바닥이 얇고 전체적으로 부드러워서 맛있고 목메임없이 넘어간다 특히 얼그레이 가나슈 파이는 얼그레이 크림층이 부드러워서 입에 넣으면 행복하다 라임치즈파이도 치즈맛을 해치지 않을정도의 상큼함으로 맛이 조화롭다
커피류는 평범하다. 맛이 맹숭맹숭함",6년 전
별표 3개,맛은 괜찮지만 위생이 걱정되요. 주방 밖에 테이블에 식재료를 놓고 만들더라고요.,5년 전
별표 5개,"디카페인 원두가 있어서 좋아용
아이스카페라떼는 좀 연한편인것같고
얼그레이가나슈파이 맛있어용",1년 전
별표 4개,"확장이전하고나서도 사람이 바글바글.
근데 그만큼 파이맛은 여전하다.
초코진득머드파이? 먹었는데 맛있었다.
항상 일관성 있게 맛있는 것 같다. (복숭아파이 제외..)스콘이랑 쿠키도 진짜 맛있어보였다. 더먹고싶은거 친구가 때려 말렸다.
홀 내 분위기는 좋은데 사람이 너무많아 시끄럽다.
테이크아웃 시 음료는 1000원 할인되는 것 같다.
재방문의사는 있다!",5년 전
별표 5개,"들어가자마자 버터향이 반기는 곳
무슨 파이를 골라도 실패하지 않을 곳입니다
쿠키나 다른 베이커리류도 맛있고 플레이팅까지 정성스럽고 이쁘게 해주셔서 갈때마다 기분이 좋아요",4년 전
별표 5개,"정말맛있습니다 신촌에서 케이크류 제일맛있는거같아요!!
분위기도 좋아서 데이트하기에도 좋을거같네요",6년 전
별표 5개,"진짜 너무 맛난 파이집이에요! 다이어트 중만 아니었다면 종류별로 맛 봤을을텐데, 다음에 가면 꼭 종류별로 맛 보고 싶을정도의 맛집이에요!",3년 전
별표 5개,아기자기한 파이집인데 사람이 항상 많아요. 매장손님도 많고 포장줄도 계속 생길 정도예요. 파이 참 잘해요. 대학생때부터 가던 곳인데 직딩되서도 신촌쪽 가면 종종 들리게 되더라구요.,1년 전
별표 5개,"가게 들어가면 나는 버터향이 좋당
파이랑 커피를 자리로 갖다 주시니까 편하다
다 먹고 나서도 자리에 그냥 두고 가면 돼서 편하다..ㅎㅎ",2년 전
별표 5개,갈때마다 행복한 곳이네요. 근데 뒤에 발코니 쪽 너무 춥고 인터넷이 느려요. 난로에서 기름냄새가 너무 많이 나는데 전기난로로 바꿔주세요...,6년 전
별표 4개,파이 종류가 매일 바뀌고 다양하다 먹어본 파이 모두 맛있었고 음료에 하겐다즈 아이스크림 얹어주는 것도 좋았다 또 가고 싶음,6년 전
별표 4개,당 충전 제대로 되는 쿠키! 라떼도 맛있었어요. 다만 늘 너무 시끄러워서 조용조용하게 이야기할 분위기는 아닙니다 ㅎㅎ,4년 전
별표 4개,"타르트 종류 넘 많고 빵 종류도 있고
특이한 메뉴가 많아서 넘 괜찮음
커피는 약간 산미 잇음",5년 전
별표 5개,파이홀은 두번가고 세본가고!!! 진짜 제가 먹어본 파이중 최고입니다!!!👍👍👍👍👍☺…,6년 전
별표 5개,"파이홀을 좋아한다. 아늑하고 따뜻한 분위기에 절로 웃음 나는 파이와 커피의 맛까지, 아쉬움이 없다.",2년 전
별표 5개,"제일 좋아하는 카페
10번 넘게 갔고 10번 넘게 갈 거에요",5년 전
별표 4개,"아메리카노 맛은 뭐 그럭저럭.. 쿠키도 맛있었는데

Sold out인 메뉴가 왜 이리 많을까 그게 좀 아쉽네",3년 전
별표 3개,"사람이 너무너무 많고 시끄럽다..
맛은 괜찮았는데 인기가 많아서인지 먹고싶은 타르트를 못먹어서 아쉬웠다..",4년 전
별표 5개,동화속 파이 누나가 하는집 같음. 주인공들이 자주가는. 분위기가 러브리.,6년 전
별표 5개,"셋이가서 하나씩맛봤는데 셋다맛있었음!
위부터 레몬머랭, 루바브라즈베리, 펌킨파이
호박파이 넘 맛있어서 포장도!
사람이 넘 많고, 소리가울리는게 단점이지만 파이는 어쨌든 맛있었다",2년 전
별표 4개,"파이, 케익 너무 맛있는데 의자가 불편해서 1점 깎았어요",4년 전
별표 4개,슈렉파이를 시켰어요 아메리카노 따뜻한걸 마시는 계절이면 좋았을텐데,6년 전
별표 4개,"파이홀 이름 답게 파이가 많아요
맛은 쏘쏘
사진 맛집이에요!",2년 전
별표 5개,"화이트치즈어쩌구파이가 맛있었다
얼그레이가나슈는 그냥 얼그레이가나슈 맛이엇슴
다른 파이도 먹어보고 싶다",2년 전
별표 5개,언제와도 바글바글. 레몬 머랭 파이는 나 레몬이오 하고 너무 대놓고 레몬이더라. 짱좋...,5년 전
별표 5개,여전히 맛있는 파이홀.. 메뉴가 심지어 더 다양해져서 감동했다. 말차 맛 종류 거의 다 맛있어요.,7년 전
별표 5개,오레오말차가나슈와 레몬머랭파이는 진리입니다😋 호불호 없는 최강 조합…,5년 전
별표 5개,다양하고 맛있는 파이와 커피가 너무 맛있었어요. 입구가 좁아 작은 카페인줄 알았는데 막상들어가보니 속에 앉을 곳이 많더군요. 디저트맛집이라 그런지 손님이 많이 찾아와 앉을곳 엊ㅅ이 카페가 꽉찼어요.,3년 전
별표 4개,"펌킨파이랑 말차오레오(?)파이 진짜 진짜 맛있어요... 파이는 종류별로 전부 먹어봐야겠어요! 커피가 중요한 저에게는 파이홀의 커피류 음료는 그냥 그래서 별 네개, 그렇지만 예전에 먹었던 스무디류 음료들은 진짜 맛있었어요~",5년 전
별표 5개,분위기도 좋고 디저트도 굿 👍…,3년 전
별표 5개,"커피가 제가 먹어본 커피중에 제일 맛있습니다
파이도 맛있어보이던데 다음에 꼭 먹어보고싶어요! 사장님 엄청 친절하시구 화장실 청결도 나쁘지 않아서 커피와 디저트 좋아하시면 꼭 가보세요!",3년 전
별표 5개,"디저트 맛집! 스콘만 먹었는데 맛있음
손님이 많음!",4년 전
별표 4개,"커피는 무난한 편이고 디져트류는 맛있는 편입니다. 다만 내부에 실내를 확장하기 위해서 건물 밖에 천막을 치고 자리를 만들었는데, 해당 자리에는 밀폐되지 않은 화장실과 붙어있어 화장실 냄새와 방향제 냄새가 심하게 납니다. 카운터 인접자리 말고는 무조건 포장을 추천합니다.",3년 전
별표 5개,파이도 맛있고 쿠키도 맛있고. 음료도 괜찮은 편,5년 전
별표 3개,"너무 맛있어요 근데 테이블이 많이...불편함 근데 맛있어요ㅜ 테이블 넘 짝고 불편해서 1점 깎음
+세번째 방문했는데 처음 갔을때 정말 맛있다고 느낀 얼그레이크림의 맛이 변한 느낌을 받았습니다 두 번째 방문시 먹었던 무화과청포도파이도 정말 맛있게 먹었는데... 아쉬움이 남습니다 파이가 나오는 속도도 느리고 홀은 항상 가득 차있습니다 시간여유가 넉넉하실때 가시는걸 추천드립니다",5년 전
별표 5개,커피 부천에 티쏘커피같은 코코아맛나서 맛있어요 케익... 진짜 핵존맛.. 꾸덕초코.. 말차쿠키는 조금 멸치맛..? 나는데 맛있어서 다먹었습니다 자리가 넓진 않지만 좋고 사람이 많아요 타이라임은 몸에 좋을 것 같은 풀..맛? 과 새콤달콤 라임맛 ㅎㅎ 많이 안달아서 좋아요(그래도 달달한 편),3년 전
별표 3개,너무 비싸고 가끔 새로운 파이를 도전해보는데 어떤 파이는 진짜 맛 없다. 예를들면 사과파이나...사과파이.. 그렇지만 치즈계열 타르트는 다 맛있고 초코류 타르트들은 맛있다,5년 전
별표 5개,분위기 좋고 파이가 맛있는 맛집^~^,5년 전
별표 5개,"어메리칸 감성이 뿜뿜하는 디저트 카페 ㅎㅎ
파이 쿠키 비스킷 엄청나게 두툼한 것이 완전 미국감성이에요!!
여성분들은 정말 특히 좋아할만한!!
맛있으면 뭐다? 0 kcal!",4년 전
별표 5개,여기 인생파이집입니다 오레오말챠 가나슈 꼭 드세요 2번 드세요,4년 전
별표 5개,"신촌에서 가장 오래되고 유명한 파이집일겁니다. 커피도 맛있으니 커피도 꼭 드셔보세요.

Probably the oldest and most famous pie bakery in Sinchon. Try nice coffee with pies.",4년 전
별표 5개,"제대로 된 파이 집입니다.
공간도 로맨틱하고(너무 붐비다는 점만 빼면) 파이도 맛있어요.
충전 콘센트가 없고 가격이 조금 세다는 점은 참고하세요.",4년 전
별표 5개,"맛있는 파이를 괜찮은 가격에 먹을수있음
레몬머랭파이는 꼭 먹어봐야함. 레몬의 신맛과 머랭의 단맛이 조화롭게 입안에서 머물렀다 사르르 녹아 없어짐.",6년 전
별표 1개,"파이는 맛있는데 사람 넘쳐서 웨이팅까지 있는 시간에 홀서빙까지 하는데 알바를 둘밖에 안 써서 무슨 카페에서 음식점에서 기다리는 것보다 더 기다려야 받을 수 있네요....

사장님 솔직히 직원 좀 더 씁시다. 너무 고생하는 게 보이는데.... 힘드니까 표정도 별로 안 좋고.",6년 전
별표 5개,초콜렛 피칸파이?먹었는데 여태 먹어본 것 중에(많이 안먹어봤지만) 제일 맛있었어요!!! 물론 항상 사람이 많은건 어쩔 수 없네요ㅠ,5년 전
별표 5개,근래 먹어본 파이 중에 가장 맛있습니다😀…,6년 전
별표 2개,땡땡린주사 맞고 파이많은 지점을 첨 봄,5달 전
별표 5개,맛있고서비스도많이줌파이종류도다양하고각각맛이어디프랜차이즈따라한맛이아니라파이홀특유의맛이남가게내부도아기자기하고예쁨.개인적으로타이라임추천,5년 전
별표 5개,매일 지나가는데.....신촌의 미래를 위해서★★★★★드림니다. (구글맵의 오류로 방문한 곳. 평가글 요구함으로..★),4년 전
별표 4개,"비싼 감이 있지만, 맛있다. 꽤 오랫동안 신촌에 있는 집이라 추억으로 먹는 맛도 있다. 얼그레이 가나슈가 대표 메뉴.",4년 전
별표 4개,카페안쪽에 꾸며놓은곳이 이뻐서 사진찍기좋고 얼그레이 가나슈?먹었는데 얼그레이맛은 강한데 가나슈 맛은 약해서 오히려안달고 맛있었습니다!!,6년 전
별표 1개,"LA 파이홀의 아류.
심지어 시그니처인 얼그레이 가나슈 파이 디자인마저 미국의 파이홀과 똑같으며 러스틱한 실내 디자인까지 미국의 매장 모습이 절로 떠오른다.
로고 디자인마저 미국의 파이홀을 그대로 따온 것에 기가 찬다.
근본 없는 가짜 매장이 신촌 중심가의 터줏대감이라니 양심 어디?",4년 전
별표 4개,디저트 카페인데 파이만 전문적으로 하는 곳 신선해서 좋았음. 너무 달지도 않고 괜찮았음,2년 전
별표 4개,"드디어 먹어본 파이홀
얼그레이 좋아해서 맛있게 먹었다
파이 빵 부분이 굉장히 두툼한데
이상하게 안 익숙한데 맛있었다

얼그레이 스콘은 안 데우면 많이 딱딱한 감이 있는데 얼그레이 좋아하면 최고",3년 전
별표 5개,서울 최고의 파이 '더파이홀',5년 전
별표 5개,"얼그레이 초콜릿 타르트? 그게 제일 맛있고, 딸기라떼가 ㄹㅇ 우유 + 딸기쨈이라 빨대로 저어드시면 최고입니다.",4년 전
별표 3개,인스타용 카페 느낌.. 근처에 있으면 가볼만 하고 파이가 특출나게 맛있진 않음,1년 전
별표 4개,"평소 디저트 덕후라 네가지 종류의 파이를 먹어봤지만 다른 곳에 비해 특별한 맛도, 그렇다고 별로도 아닌.. 그래도 대체로 맛있었다.",6년 전
별표 4개,마싯어용 근데 테이블 간격이 진짜 좁아요 다닥다닥,4년 전
별표 5개,파이홀은 뭐...명불허전,7년 전
별표 5개,정말 맛있는 파이와 따뜻한 홍차를 즐길 수 있는 곳입니다. 신촌을 방문하는 분께 적극 추천합니다.,6년 전
별표 5개,웨이팅이 증명하는 맛입니다,3년 전
별표 5개,파이 진짜 맛있고 고급스러워요,4년 전
별표 2개,"파이는 엄청 달다
커피는 평범함",4년 전
별표 5개,얼그레이 가나슈 너무 맛있어요ㅠㅠ 파이홀 이전하기 전부터해서 이 곳을 알고 지낸 지 한 4~5년은 됐는데 여길 뛰어넘는 타르트집을 아직 발견못했습니다.,4년 전
별표 4개,옛날 부터 있던 파이 맛집. 그냥 뭔가 평소보다 맛있는 빵 종류 디저트 먹고싶다하면 여기로 ㄲ.,6년 전
별표 5개,디저트 별로 안좋아하는데도 맛있게 먹음,10달 전
별표 5개,"와 기대안햇는대 초코 머시기랑 라때 존믓캥
투썸라떼와 차원이 다른 라떼맛....
초코 6800원인대 가격값 하고도 넘규요ㅡ...대박",5년 전
별표 5개,걍 다좋아요 카페 분위기 파이 냄새 커피냄새 삼위일체 완ㅡ벽 !,4년 전
별표 3개,솔직히 맛은 잘 모르겠다. 데이트 하기 좋다. 선물용으로 몇조각 사가면 여자인 친구들이 좋아할 것.,4년 전
별표 4개,스콘과 차가 맛있음. 가게는 소란스럽고 사람많음. 직원 친절함,5년 전
별표 4개,자리가 많은 듯 했지만 사람이 많아서 좋은 자리를 잡긴 어려움 사진찍으러 가기에는 약간 비추고 먹는 파이는 맛있었음,4년 전
별표 5개,얼그레이가나슈 케익 존맛입니다! 한입에 넣으시면 가냐슈의 황홀감을 느끼실 수 있습니다,3년 전
별표 3개,커피는 너무 연하고 파이는 너무 달다,5년 전
별표 5개,존맛,7달 전
별표 4개,가격이 좀 비싸지만 맛있어요. 빈티지스런 테이블이 예쁘지만 테이블 간격이 좁아요.,5년 전
별표 4개,파이 맛있는데 사람이 넘 많아요ㅠ 파이랑 음료 주문하면 테이블로 가져다 주시더라구요,5년 전
별표 4개,맛있음. 오미자차 좀 더 진했으면 좋겠음. 말차 케잌? 달면서 바삭한데 녹차로 깔끔.,7년 전
별표 5개,맛있는 파이가 땡긴다? 이곳은 참 좋은 선택!,3년 전
별표 3개,맛있어요 ㅎㅎ,5년 전
별표 5개,여기 커피숍에서 파는 조각 케잌은 주인장님께서 직접 만들어요 ~~ 무지 맛있음 ^^,9년 전
별표 5개,진짜 맛있음!! 사람도 많고 얼그레이 파이 녹차파이 강추,4년 전
별표 5개,맛집입니다. 파이 좋아하는 사람들은 한번 꼭 가보시기를...,6년 전
